"Scrip Code","Symbol","Scrip Name","Haircut %","ISIN","Broker limit reached","Cash Equivalent","Pledge allowed"
"HDFCINFDR-DR","HDFCINFDR-DR","HDFC INFRASTRUCTURE FUND- IDCW REINVESTMENT OPTION","25","INF179K01GG6","No","No","Yes"
"HSFIVFP-DP","HSFIVFP-DP","HSBC VALUE FUND - IDCW PAYOUT","25","INF677K01213","No","No","Yes"
"EDGFRG-GR","EDGFRG-GR","EDELWEISS GOLD AND SILVER ETF FUND OF FUND -REGULAR PLAN-GROWTH","25","INF754K01OT3","No","No","Yes"
"AADP-DP","AADP-DP","JM ARBITRAGE FUND - IDCW PAYOUT OPTION","25","INF192K01494","No","No","Yes"
"HS01P-DP","HS01P-DP","HSBC CORPORATE BOND FUND-REGULAR-QUARTERLY IDCW PAYOUT","25","INF917K01AF4","No","No","Yes"
"543350","VIJAYA","Vijaya Diagnostic Centre Limit","20.2","INE043W01024","No","No","Yes"
"099D-DR","099D-DR","SBI FLEXICAP FUND - IDCW REINVESTMENT","25","INF200K01248","No","No","Yes"
"533282","GRAVITA","Gravita India Limited","26.84","INE024L01027","No","No","Yes"
"SBNP71-DR","SBNP71-DR","SUNDARAM SMALL CAP FUND REGULAR IDCW REINVESTMENT","25","INF903J01462","No","No","Yes"
"IC9742-DR","IC9742-DR","ICICI PRUDENTIAL INNOVATION FUND DIRECT PLAN IDCW REINVESTMENT","25","INF109KC14T8","No","No","Yes"
"HBPGR-GR","HBPGR-GR","HDFC BANKING AND PSU DEBT FUND - REGULAR GROWTH OPTION","25","INF179KA1JC4","No","No","Yes"
"HDAARDP-DP","HDAARDP-DP","HDFC ASSET ALLOCATOR FOF REGULAR IDCW PAYOUT","25","INF179KC1BE5","No","No","Yes"
"BXBA139-GR","BXBA139-GR","BANK OF INDIA BALANCED ADVANTAGE FUND - REGULAR PLAN GROWTH","25","INF761K01BR9","No","No","Yes"
"IC3540P-DP","IC3540P-DP","ICICI PRUDENTIAL INNOVATION FUND REGULAR PLAN IDCW PAYOUT","25","INF109KC10T6","No","No","Yes"
"ESNSBPG-GR","ESNSBPG-GR","NAVI BSE SENSEX INDEX FUND REGULAR PLAN - GROWTH","25","INF959L01HJ1","No","No","Yes"
"AXFAFDP-DR","AXFAFDP-DR","AXIS FOCUSED FUND - REGULAR IDCW REINVESTMENT","25","INF846K01CJ3","No","No","Yes"
"AXSCGP-GR","AXSCGP-GR","AXIS SMALL CAP FUND - REGULAR PLAN GROWTH","25","INF846K01K01","No","No","Yes"
"IIITRG-GR","IIITRG-GR","360 ONE ELSS TAX SAVER NIFTY 50 INDEX FUND - REGULAR PLAN - GROWTH","25","INF579M01AL6","No","No","Yes"
"RGISD1-GR","RGISD1-GR","INVESCO INDIA INFRASTRUCTURE FUND - DIRECT PLAN GROWTH","25","INF205K01MD4","No","No","Yes"
"KO190D-GR","KO190D-GR","KOTAK CREDIT RISK FUND - DIRECT PLAN - GROWTH","25","INF174K01LZ7","No","No","Yes"
"MOLMDP-DR","MOLMDP-DR","MOTILAL OSWAL LARGE AND MIDCAP FUND-REGULAR IDCW REINVESTMENT","25","INF247L01973","No","No","Yes"
"543568","MOM30IETF","ICICIPRAMC - ICICIMOM30","10","INF109KC17C7","No","No","Yes"
"532259","APARINDS","Apar Industries Limited","21.05","INE372A01015","No","No","Yes"
"543523","CAMPUS","Campus Activewear Limited","20","INE278Y01022","No","No","Yes"
"TABMDPZ-DP","TABMDPZ-DP","TATA HYBRID EQUITY FUND DIRECT PLAN - MONTHLY IDCW PAYOUT","25","INF277K01MO0","No","No","Yes"
"K154DP-DP","K154DP-DP","KOTAK ELSS TAX SAVER FUND - IDCW PAYOUT OPTION","25","INF174K01385","No","No","Yes"
"IFGQB-DP","IFGQB-DP","BANDHAN GOVERNMENT SECURITIES FUND - INVESTMENT PLAN-QUARTERLY-IDCW PAYOUT","25","INF194K01EH8","No","Yes","Yes"
"TAIPHDZ-DR","TAIPHDZ-DR","TATA INDIA PHARMA AND HEALTHCARE FUND DIRECT PLAN IDCW REINVESTMENT","25","INF277K011B8","No","No","Yes"
"KO276-GR","KO276-GR","KOTAK NIFTY SDL PLUS AAA PSU BOND JUL 2028 60:40 INDEX FUND -REGULAR PLAN - GROWTH","25","INF174KA1JQ9","No","No","Yes"
"541154","HAL","HINDUSTAN AERONAUTICS LTD","20","INE066F01020","No","No","Yes"
"LCMKDP-DR","LCMKDP-DR","LIC MF MULTI CAP FUND REGULAR PLAN-IDCW REINVESTMENT","25","INF767K01RJ9","No","No","Yes"
